"","chaccu","orientation","corral.shape","corral.width","notes","east","north","length","elev.m"
"191",196,350,"round",4.717,"Walls are not straight",273391,8199443,92,4452
"192",197,195,"square",10.549,NA,483964,7857285,425,3914
"193",199,135,"ind",NA,NA,414919,8190615,44,4079
"194",200,70,"round",3.6,"",453577,8086513,96,4342
"195",201,NA,"ind",NA,NA,451904,8156908,100,4395
"196",202,NA,"ind",NA,NA,450735,8103379,109,4349
"197",203,NA,"round",NA,NA,450878,8105442,81,4357
"198",204,NA,"round",NA,NA,450754,8108656,90,4409
"199",205,120,"round",6.4,NA,473173,8069204,76,4080
"200",206,200,"ind",8.6,NA,438749,8091912,87,4406
"201",207,320,"round",3,NA,454445,8081598,80,4383
"202",208,120,"round",7,NA,399835,8171249,75,4798
"203",209,160,"round",4,NA,398077,8138289,38,4687
"204",210,160,"round",0,"Corral has fallen",436168,8137054,84,4677
"205",211,300,"round",4.5,NA,290081,8270638,44,4539
"206",212,270,"round",5,NA,294915,8269977,67,4523
"207",213,260,"round",5,NA,285897,8269169,54,4560
"208",214,75,"round",4,NA,283554,8268883,63,4469
"209",215,270,"round",7,NA,286093,8268482,84,4558
"210",216,280,"round",7,NA,287661,8266786,42,4522
"211",217,330,"round",5,NA,286877,8263765,58,4607
"212",218,150,"round",5,NA,282645,8263135,99,4612
"213",219,270,"round",6,NA,292447,8262639,68,4563
"214",220,140,"round",8,NA,291814,8261432,83,4541
"215",221,160,"round",6,NA,289265,8258839,97,4605
"216",222,130,"round",5,NA,286105,8257648,100,4533
"217",223,230,"round",8,NA,413462,8200143,71,4173
"218",224,260,"round",4,"repurposed into a corral",403746,8180804,94,4691
"219",225,230,"round",3,"Wall nearby",407473,8176197,63,4723
"220",226,200,"square",3,NA,408875,8174921,53,4501
"221",227,260,"round",6,NA,399074,8173943,102,4810
"222",228,330,"round",3,NA,398525,8173239,47,4796
"223",229,340,"round",4,NA,399278,8173199,74,4852
"224",230,310,"round",4,NA,371495,8172863,75,4850
"225",231,30,"round",3,NA,408220,8172392,50,4561
"226",232,0,"round",4,NA,408507,8158107,59,4703
"227",233,320,"round",4,NA,391856,8146343,98,4797
"228",234,200,"round",5,NA,382161,8140272,91,4708
"229",235,180,"round",4.5,"possible additional corral",397750,8139653,94,4682
"230",236,340,"round",4,"horizontal walls or natural ridges surrounding it",464857,8139601,63,3965
"231",237,110,"round",2,"extremely narrow",449731,8133692,84,4220
"232",238,270,"round",3,"Evidence of collapsed wall/wall addition",437532,8126960,59,4851
"233",239,300,"round",3,NA,444801,8126083,73,4574
"234",240,340,"round",3,NA,452990,8123824,73,4351
"235",241,210,"ind",0,"funnel ends abruptly with a straight ""corral""",447665,8119961,77,4471
"236",242,350,"round",4,NA,430276,8107880,90,4406
"237",243,0,"square",4,"small wing at end of funnel",405939,8105734,48,4870
"238",244,340,"square",2,"very elongated corral over dip in terrain",416087,8105601,71,4784
"239",245,160,"round",4,NA,425705,8103442,92,4720
"240",246,190,"round",0,"fallen corral",412203,8099581,87,4637
"241",247,290,"round",6,"corall is large but unclear",431136,8096514,108,4219
"242",248,120,"round",3,"elongated corral",432383,8088379,105,4222
"243",249,340,"round",3,"pointing uphill?",432006,8087650,69,4212
"244",250,270,"round",4,NA,444976,8087252,94,4322
"245",251,270,"round",4,NA,431175,8085222,75,4207
"246",252,45,"round",3,NA,450122,8082650,75,4182
"247",253,150,"round",3,NA,454681,8080961,71,4397
"248",254,280,"round",3,NA,417550,8078959,52,4507
"249",255,0,"round",6,"Potential cluster of corall",472298,8078712,83,4121
"250",256,120,"round",4,"two ""modern"" corrals near",454290,8078009,62,4224
